dataset,question_id,question,visual,answer,dimension,key,date,value_pct,parties
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerUndecided,region,Qld,2021-04-16,27,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerUndecided,region,Qld,2021-05-16,22,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerUndecided,region,Qld,2021-06-13,20,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerUndecided,region,Qld,2021-07-18,21,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerUndecided,region,Rest of Australia,2021-04-16,29,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerUndecided,region,Rest of Australia,2021-05-16,27,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerUndecided,region,Rest of Australia,2021-06-13,25,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerUndecided,region,Rest of Australia,2021-07-18,25,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerUndecided,age,age-18-34,2021-04-16,35,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerUndecided,age,age-18-34,2021-05-16,29,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
Q444_two group preffered bar,Q444,(AES-encrypted in source),two group preffered bar,answerUndecided,age,age-18-34,2021-06-13,36,The Liberal-National Coalition; The Labor Party; Undecided / Too close to call
