Division,State,Party,Coalition_2PP_percent,Labor_2PP_percent,Swing,Year,Labor_2PP_minus_Coalition_2PP,New_swing
Lilley,QLD,ALP,41.41,58.59,-3.19,2007,8.59,3.19
Lindsay,NSW,ALP,43.22,56.78,-9.7,2007,6.78,9.7
Lingiari,NT,ALP,38.84,61.16,-3.5,2007,11.16,3.5
Longman,QLD,ALP,46.43,53.57,-10.32,2007,3.57,10.32
Lowe,NSW,ALP,42.63,57.37,-4.34,2007,7.37,4.34
Lyne,NSW,NP,58.58,41.42,-4.83,2007,-8.58,4.83
Lyons,TAS,ALP,41.22,58.78,-5.1,2007,8.78,5.1
Macarthur,NSW,LP,50.72,49.28,-10.43,2007,-0.72,10.43
Mackellar,NSW,LP,62.42,37.58,-3.04,2007,-12.42,3.04
Macquarie,NSW,ALP,42.96,57.04,-6.57,2007,7.04,6.57
Makin,SA,ALP,42.3,57.7,-8.63,2007,7.7,8.63
Mallee,VIC,NP,71.27,28.73,-3.48,2007,-21.27,3.48
Maranoa,QLD,NP,64.44,35.56,-6.61,2007,-14.44,6.61
Maribyrnong,VIC,ALP,34.68,65.32,-5.85,2007,15.32,5.85
Mayo,SA,LP,57.06,42.94,-6.53,2007,-7.06,6.53
McEwen,VIC,LP,50.02,49.98,-6.4,2007,-0.02,6.4
Monash (fmr McMillan),VIC,LP,54.79,45.21,-0.2,2007,-4.79,0.2
McPherson,QLD,LP,58.83,41.17,-5.11,2007,-8.83,5.11
Melbourne,VIC,ALP,27.73,72.27,-1.13,2007,22.27,1.13
Macnamara (fmr Melbourne Ports),VIC,ALP,42.85,57.15,-3.41,2007,7.15,3.41
Menzies,VIC,LP,56.02,43.98,-4.65,2007,-6.02,4.65
Mitchell,NSW,LP,61.59,38.41,-9.09,2007,-11.59,9.09
Moncrieff,QLD,LP,64.01,35.99,-5.52,2007,-14.01,5.52
Moore,WA,LP,59.17,40.83,-1.66,2007,-9.17,1.66
Moreton,QLD,ALP,45.25,54.75,-7.58,2007,4.75,7.58
Nicholls (fmr Murray),VIC,LP,68.26,31.74,-5.82,2007,-18.26,5.82
New England,NSW,NP,64.8,35.2,1.21,2007,-14.8,-1.21
