,ALP,L-NP,Liberal,National,Greens,Family First,Dems,One Nation,Other
"December 8-12, 2010 (Phone)",31.0,46.0,44.0,2.0,13.5,2.0,< 0.5,< 0.5,7.5
"December 4/5, 2010 (Face)",40.5,40.5,36.0,4.5,13.5,1.5,< 0.5,< 0.5,4.0
"November 20/21 & 27/28, 2010 (Face)",40.5,42.0,38.5,3.5,12.0,1.5,< 0.5,< 0.5,4.0
"November 6/7 & 13/14, 2010 (Face)",41.0,40.0,36.0,4.0,12.0,2.5,< 0.5,< 0.5,4.5
"October 23/24 & 30/31, 2010 (Face)",43.0,40.5,36.5,4.0,10.5,1.5,< 0.5,< 0.5,4.5
"October 9/10 & 16/17, 2010 (Face)",43.0,40.5,37.5,3.0,10.5,2.5,< 0.5,< 0.5,3.5
"October 2/3, 2010 (Face)",44.0,38.5,35.5,3.0,12.0,2.0,< 0.5,< 0.5,3.5
"September 18/19, 2010 (Face)",40.5,41.0,36.5,4.5,13.0,2.0,< 0.5,< 0.5,3.5
"September 15/16, 2010 (Phone)",35.5,42.5,39.5,3.0,15.0,2.5,< 0.5,< 0.5,4.5
"September 8/9, 2010 (SMS)",39.5,45.0,41.0,4.0,10.5,2.0,< 0.5,< 0.5,3.0
"August 28/29 & September 4/5, 2010",40.5,39.5,35.5,4.0,15.0,2.0,< 0.5,< 0.5,3.0
"August 25/26, 2010 (Phone)",36.0,40.0,37.0,3.0,13.0,2.0,< 0.5,< 0.5,9.0
"August 22/23, 2010 (SMS)",40.5,44.5,40.5,4.0,10.0,2.0,< 0.5,< 0.5,3.0
"Federal Election - August 21, 2010",38.0,43.6,39.9,3.7,11.8,2.3,< 0.5,< 0.5,4.3
"August 21, 2010 (Phone)",38.5,41.5,39.0,2.5,13.0,1.5,< 0.5,< 0.5,5.5
"August 21, 2010 (SMS - 4pm)",38.0,43.0,40.0,3.0,12.0,1.5,< 0.5,< 0.5,5.5
"August 21, 2010 (SMS - 2pm)",38.5,43.5,40.5,3.0,11.5,1.5,< 0.5,< 0.5,5.0
"August 21, 2010 (SMS - 1pm)",38.5,43.0,40.0,3.0,12.0,1.5,< 0.5,< 0.5,5.0
"August 18-20, 2010 (Phone - Updated)",39.0,42.5,39.5,3.0,11.5,1.5,< 0.5,< 0.5,5.5
"August 18/19, 2010 (Phone)",38.0,42.0,39.0,3.0,13.0,1.5,< 0.5,< 0.5,5.5
"August 14/15, 2010 (Face : Face)",40.0,43.0,38.5,4.5,13.5,1.5,< 0.5,< 0.5,2.0
"August 14, 2010 (Phone)",40.5,44.0,41.0,3.0,12.5,1.0,< 0.5,< 0.5,2.0
"August 7/8, 2010 (Face : Face)",43.0,37.0,33.5,3.5,15.5,2.0,< 0.5,< 0.5,2.5
"August 3, 2010 (Phone)",38.0,45.0,42.5,2.5,11.0,1.0,< 0.5,< 0.5,5.0
"July 31/ August 1, 2010 (Face : Face)",44.0,41.0,39.0,2.0,10.0,1.0,< 0.5,< 0.5,4.0
"July 27/28, 2010 (Phone)",42.0,42.0,39.5,2.5,11.0,1.5,< 0.5,< 0.5,3.5
"July 24/25, 2010 (Face : Face)",43.5,37.0,35.0,2.0,11.5,1.5,< 0.5,< 0.5,6.5
"July 20/21, 2010 (Phone)",44.0,38.5,35.5,3.0,11.5,2.0,< 0.5,< 0.5,4.0
